Channel,LocalStartTime,Server,Decoder,Sport,Competition,Home,Away,Information,Region
Infront,15-01-2025 18:00,Euro226,IGM_INF_XVI_CH12 ,Ice Hockey,HockeyAllsvenskan,Tingsryd,Björklöven,Regular Season,Sweden
Stadium Feed,15-01-2025 18:00,Euro151,ZSM_CH04 ,Soccer,São Paulo Youth Cup,Ituano U20,Fortaleza U20,3rd Round,Brazil
Stadium Feed,15-01-2025 18:00,Euro126,FIB_CH01 ,Basketball,Euroleague Women,USK Praha,Fenerbahçe,Group F,Europe
Italy Sport Arena [204],15-01-2025 18:00,Euro7,Sky-IT4 ,Basketball,Euroleague,Žalgiris,Virtus Bologna,Regular Season,Europe
Infront,15-01-2025 18:00,Euro236,IGM_INF_XVI_CH57 ,Ice Hockey,Division 1,Lindlöven,Brödernas/Väsby,North,Sweden
Infront,15-01-2025 18:00,Euro228,IGM_INF_XVI_CH14 ,Ice Hockey,HockeyAllsvenskan,Almtuna,Vimmerby,Regular Season,Sweden
Infront,15-01-2025 18:00,Euro232,IGM_INF_XVI_CH63 ,Ice Hockey,Division 1,Mörrum,Huddinge,South,Sweden
Game Cancelled,15-01-2025 18:15,Euro0,Not Set ,Basketball,Euroleague Women,Valencia,Polkowice,Group F,Europe
Stadium Feed,15-01-2025 18:15,Euro127,TSW_Ch02 ,Basketball,FIBA Europe Cup,Marousi,Tofaş,Group K,Europe
Stadium Feed,15-01-2025 18:15,Euro128,FIB_CH09 ,Basketball,FIBA Europe Cup,PAOK,Kalev,Group M,Europe
Infront,15-01-2025 18:30,Euro239,IGM_INF_CH10 ,Soccer,State Cup,Maccabi Tel Aviv,Maccabi Bnei Raina,Round of 16,Israel
M LaLiga TV 3 [167],15-01-2025 18:30,Euro31,Spain-1 ,Soccer,Copa del Rey,Pontevedra,Getafe,Round of 16,Spain
Stadium Feed,15-01-2025 18:30,Euro129,SAT_CH02 ,Basketball,FIBA Champions League,Maccabi Ramat Gan,Szombathely,Play-In,Europe
Canal 11 [11],15-01-2025 18:30,Euro84,MEO 2 ,Futsal,Futsal League Portugal,Caxinas,Electrico,,Portugal
M LaLiga TV 2 [55],15-01-2025 18:30,Euro32,Spain-2 ,Soccer,Copa del Rey,Almeria,Leganes,Round of 16,Spain
British Eurosport 1 [410],15-01-2025 18:45,Euro57,ASTRA-5 ,Snooker,The Masters ,,,Day 4 - Round 1,Great Britain
Stadium Feed,15-01-2025 18:45,Euro130,XVI_CH08 ,Soccer,Carioca 1 Div,Maricá,Boavista RJ,Taça Guanabara,Brazil
Stadium Feed,15-01-2025 19:00,Euro134,FIB_CH12 ,Basketball,FIBA Europe Cup,Dijon,Oradea,Group M,Europe
Stadium Feed,15-01-2025 19:00,Euro138,FIB_CH16 ,Basketball,Eurocup Women,Lyon ASVEL,Galatasaray,Round of 16,Europe
No available broadcaster,15-01-2025 19:00,Euro0,Not Set ,Basketball,Euroleague,Crvena Zvezda,Fenerbahçe,Regular Season,Europe
Stadium Feed,15-01-2025 19:00,Euro131,SAT_CH04 ,Basketball,FIBA Champions League,Saint Quentin,Galatasaray,Play-In,Europe
Stadium Feed,15-01-2025 19:00,Euro133,FIB_CH02 ,Basketball,Euroleague Women,Bourges,Landes,Group E,Europe
Stadium Feed,15-01-2025 19:00,Euro139,FIB_CH15 ,Basketball,Eurocup Women,Villeneuve d'Ascq,Estudiantes,Round of 16,Europe
Stadium Feed,15-01-2025 19:00,Euro136,FIB_CH11 ,Basketball,FIBA Europe Cup,Le Portel,Cholet,Group L,Europe
Stadium Feed,15-01-2025 19:00,Euro135,FIB_CH17 ,Basketball,Eurocup Women,Ibaeta,Dinamo Sassari,Round of 16,Europe
Stadium Feed,15-01-2025 19:00,Euro137,FIB_CH10 ,Basketball,FIBA Europe Cup,Bilbao,Dinamo Sassari,Group L,Europe
Stadium Feed,15-01-2025 19:00,Euro132,SAT_CH03 ,Basketball,FIBA Champions League,Reggiana,Bonn,Play-In,Europe
315 TSN 5,15-01-2025 19:10,Us21,Not Set ,Ice Hockey,Champions Hockey League,Geneve-Servette,ZSC Lions,,Europe
Infront,15-01-2025 19:15,Euro208,IGM_INF_CH86 ,Ice Hockey,Champions Hockey League,Genève Servette,ZSC Lions,Semi-finals,Europe
SRF 2 [S - 123],15-01-2025 19:15,Euro12,SWISS1 ,Ice Hockey,Champions Hockey League,Genève Servette,ZSC Lions,Semi-finals,Europe
Sport TV 4 [24],15-01-2025 19:30,Euro85,MEO 3 ,Basketball,Euroleague,Bayern München,Monaco,Regular Season,Europe
TNT Sport 2 [871],15-01-2025 19:30,Euro55,ASTRA-3 ,Soccer,Premier League,Everton,Aston Villa,Regular Season,England
ARD Das Erste,15-01-2025 19:30,Euro24,19FTA-1 ,Handball,World Championship,Germany,Poland,Group A,World
Bundesliga 3 [213] HD,15-01-2025 19:30,Euro30,GER-6 ,Soccer,Bundesliga,Stuttgart,RB Leipzig,Regular Season,Germany
Bundesliga 5 [215] HD,15-01-2025 19:30,Euro29,GER-5 ,Soccer,Bundesliga,Union Berlin,Augsburg,Regular Season,Germany
TVP Sport [183],15-01-2025 19:30,Euro15,EPOL ,Handball,World Championship,Germany,Poland,Group A,World
TV3 Norway [7],15-01-2025 19:30,Euro62,SCAND-2 N ,Handball,World Championship,Norway,Brazil,Group E,World
Bundesliga 2 [212] HD,15-01-2025 19:30,Euro26,GER-2 ,Soccer,Bundesliga,Bayern Munich,Hoffenheim,Regular Season,Germany
Bundesliga 4 [214] HD,15-01-2025 19:30,Euro28,GER-4 ,Soccer,Bundesliga,Werder Bremen,Heidenheim,Regular Season,Germany
Radio 5 Live SX,15-01-2025 19:30,Euro43,R5LX ,Soccer,Premier League,Everton,Aston Villa,Regular Season,England
Italy Sport 254,15-01-2025 19:30,Euro4,Sky-IT1 ,Soccer,Premier League,Leicester City,Crystal Palace,Regular Season,England
Al Kass 4 [034 / 504],15-01-2025 19:30,Israel4,Not Set ,Handball,World Championship,Croatia,Bahrain,Group H,World
Polsat Sport [119],15-01-2025 19:30,Euro16,POL-1 ,Volleyball,CEV Champions League,Maaseik,Projekt Warszawa,Group A,Europe
Super Sport PSL [202],15-01-2025 19:30,Sa2,Not Set ,Soccer,Premier League,Newcastle United,Wolverhampton Wanderers,Regular Season,England
Rai Sport,15-01-2025 19:30,Euro9,Italia-FTA2 ,Volleyball,Serie A1 Femminile,UYBA Busto Arsizio,Chieri,Regular Season,Italy
VAMOS [8],15-01-2025 19:30,Euro33,Spain-3 ,Basketball,Euroleague,Barcelona,Panathinaikos,Regular Season,Europe
Al Kass 6 [036 / 506],15-01-2025 19:30,Israel7,Not Set ,Handball,World Championship,Hungary,North Macedonia,Group D,World
Italy Sport 253,15-01-2025 19:30,Euro6,Sky-IT3 ,Soccer,Premier League,Newcastle United,Wolverhampton Wanderers,Regular Season,England
Infront,15-01-2025 19:45,Euro206,IGM_INF_CH50 ,Soccer,Coppa Italia,Napoli,Roma,Quarter-finals,Italy
Stadium Feed,15-01-2025 19:45,Euro140,POD_M ,Soccer,Championship,Blackburn Rovers,Portsmouth,Regular Season,England
Game Postponed,15-01-2025 19:45,Euro0,Not Set ,Soccer,National League,Boston United,Southend United,Regular Season,England
Stadium Feed,15-01-2025 19:45,Euro117,11S_Ch01 ,Soccer,Cup,Club Brugge,Genk,Semi-finals,Belgium
DAZN 1 Italy [214],15-01-2025 19:45,Euro5,Sky-IT2 ,Soccer,Serie A,Inter Milan,Bologna,Regular Season,Italy
RTE 1 [101],15-01-2025 19:58,Euro50,SKYIE-2 ,Other,Irish Lotto,,,Draw,Ireland 
Canal 11 [11],15-01-2025 20:00,Euro84,MEO 2 ,Futsal,Futsal League Portugal,Ferreira Do Zezere,Torreense,,Portugal
Polsat Sport Extra [118],15-01-2025 20:00,Euro17,POL-2 ,Soccer,Premiership,Rangers,Aberdeen,1st Phase,Scotland
Stadium Feed,15-01-2025 20:00,Euro141,CER_CH01 ,Soccer,Premiership,Rangers,Aberdeen,1st Phase,Scotland
Super Sport Premier League [203],15-01-2025 20:00,Sa3,Not Set ,Soccer,Premier League,Arsenal,Tottenham Hotspur,Regular Season,England
Radio 5 Live,15-01-2025 20:00,Euro44,R5L ,Soccer,Premier League,Arsenal,Tottenham Hotspur,Regular Season,England
Movistar Plus [7],15-01-2025 20:00,Euro34,Spain-4 ,Soccer,Copa del Rey,Barcelona,Real Betis,Round of 16,Spain
Italy Sport Uno [201],15-01-2025 20:00,Euro7,Sky-IT4 ,Soccer,Premier League,Arsenal,Tottenham Hotspur,Regular Season,England
Infront,15-01-2025 20:00,Euro211,IGM_INF_CH70 ,Soccer,Coupe de France,Espaly-Saint-Marcel,PSG,Round of 32,France
Sport TV 1 [21],15-01-2025 20:15,Euro83,MEO 1 ,Soccer,Taça de Portugal,Sporting Braga,Lusitano Évora 1911,Round of 16,Portugal
TVE La 1 [1],15-01-2025 20:30,Euro31,Spain-1 ,Soccer,Copa del Rey,Elche,Atletico Madrid,Round of 16,Spain
Stadium Feed,15-01-2025 21:30,Euro142,XVI_CH09 ,Soccer,Carioca 1 Div,Nova Iguaçu,Sampaio Corrêa RJ,Taça Guanabara,Brazil
Stadium Feed,15-01-2025 21:30,Euro166,ZSM_CH05 ,Soccer,São Paulo Youth Cup,Palmeiras U20,Sport Recife U20,3rd Round,Brazil
Stadium Feed,15-01-2025 21:30,Euro152,ZSM_CH06 ,Soccer,Paulista A1,Novorizontino,Ponte Preta,Regular Season,Brazil
Stadium Feed,15-01-2025 21:30,Euro143,ZSM_CH07 ,Soccer,Paulista A1,Velo Clube,Noroeste,Regular Season,Brazil
Stadium Feed,15-01-2025 22:00,Euro154,LVM_CH14 ,Soccer,Paulista A2,Capivariano,Santo André,1st Phase,Brazil
Stadium Feed,15-01-2025 22:15,Euro144,ZSM_CH08 ,Soccer,São Paulo Youth Cup,Vila Nova U20,Corinthians U20,3rd Round,Brazil
Stadium Feed,15-01-2025 22:30,Euro162,ZSM_CH01 ,Soccer,Paulista A1,Guarani SP,Botafogo SP,Regular Season,Brazil
Stadium Feed,15-01-2025 22:30,Euro158,LVM_CH15 ,Soccer,Paulista A2,Linense,Juventus,1st Phase,Brazil
Stadium Feed,15-01-2025 22:30,Euro161,LVM_CH17 ,Soccer,Paulista A2,Grêmio Prudente,São José EC,1st Phase,Brazil
Stadium Feed,15-01-2025 22:30,Euro160,LVM_CH16 ,Soccer,Paulista A2,Votuporanguense,Ferroviária,1st Phase,Brazil
V Sport Vinter HD [88],15-01-2025 23:00,Euro64,SCAND-4 S ,Ice Hockey,NHL,Buffalo Sabres,Carolina Hurricanes,,United States
Stadium Feed,15-01-2025 23:00,Euro114,LVM_CH01 ,Soccer,Paranaense 1 Div,Coritiba,Independente FSJ,Group Stage,Brazil
Stadium Feed,15-01-2025 23:00,Euro113,LVM_CH02 ,Soccer,Paranaense 1 Div,Maringá,Cianorte,Group Stage,Brazil
Stadium Feed,15-01-2025 23:00,Euro115,LVM_CH03 ,Soccer,Paranaense 1 Div,Cascavel,Londrina,Group Stage,Brazil
Stadium Feed,15-01-2025 23:00,Euro110,CIS_CH01 ,Soccer,Primera División,Santa Ana,Puntarenas,Clausura,Costa Rica
659 - ATTPT Root Sports,15-01-2025 23:00,Us9,Not Set ,Basketball,Women's College Basketball,Duquesne,Dayton ,,United States
611 - SEC Network,15-01-2025 23:00,Us4,Not Set ,Basketball,NCAA Division I,Vanderbilt,South Carolina,,United States
Stadium Feed,15-01-2025 23:40,Euro104,NZC_CH01 ,Cricket,Women's Super Smash,Otago Sparks,Northern Brave Women,,New Zealand
