Channel,LocalStartTime,Server,Decoder,Sport,Competition,Home,Away,Information,Region
Stadium Feed,16-01-2025 19:00,Euro128,FIB_CH21 ,Basketball,Eurocup Women,Lattes Montpellier,Stars Keltern,Round of 16,Europe
Infront,16-01-2025 19:13,Itf4,IGM_INF_ITF_CH07 ,Tennis,W50-La Marsa-TN,Xiao/Yuan,Dang/You,,Tunisia
Infront,16-01-2025 19:22,Itf6,IGM_INF_ITF_CH06 ,Tennis,W50-La Marsa-TN,Falkner/Nikcevic,Abid/Mahbouli,,Tunisia
Polsat Sport Extra [118],16-01-2025 19:30,Euro17,POL-2 ,Volleyball,CEV Champions League,Roeselare,Milano,Group C,Europe
TV2 Denmark [3],16-01-2025 19:30,Euro72,DEN-1 ,Handball,World Championship,Tunisia,Denmark,Group B,World
TNT Sport 2 [871],16-01-2025 19:30,Euro55,ASTRA-3 ,Soccer,Premier League,Ipswich Town,Brighton + Hove Albion,Regular Season,England
Italy Sport Uno [201],16-01-2025 19:30,Euro6,Sky-IT3 ,Basketball,Euroleague,Olimpia Milano,Partizan,Regular Season,Europe
ORF eins [751],16-01-2025 19:30,Euro27,GER-3 ,Handball,World Championship,Austria,Qatar,Group C,World
TV6 [6],16-01-2025 19:30,Euro63,SCAND-3 S ,Handball,World Championship,Sweden,Japan,Group F,World
Italy Sport 251,16-01-2025 19:30,Euro4,Sky-IT1 ,Soccer,Premier League,Ipswich Town,Brighton + Hove Albion,Regular Season,England
Radio 5 Live SX,16-01-2025 19:30,Euro43,R5LX ,Soccer,Premier League,Ipswich Town,Brighton + Hove Albion,Regular Season,England
Sport 5 - [55],16-01-2025 19:30,Israel10,Not Set ,Basketball,Euroleague,Paris,Maccabi Tel Aviv,Regular Season,Europe
Al Kass 6 [036 / 506],16-01-2025 19:30,Israel8,Not Set ,Handball,World Championship,Iceland,Cabo Verde,Group G,World
No Fixture,16-01-2025 19:45,Euro0,Not Set ,Soccer,Coppa Italia,Internazionale,Sassuolo,Quarter-finals,Italy
VAMOS [8],16-01-2025 19:45,Euro32,Spain-2 ,Basketball,Euroleague,Real Madrid,Olympiacos,Regular Season,Europe
Infront,16-01-2025 19:45,Euro206,IGM_INF_CH50 ,Soccer,Coppa Italia Femminile,Internazionale W,Sassuolo W,Quarter-finals,Italy
Stadium Feed,16-01-2025 19:45,Euro109,11S_Ch01 ,Soccer,Cup,Anderlecht,Antwerp,Semi-finals,Belgium
Stadium Feed,16-01-2025 20:00,Euro129,LPD_113 ,Soccer,League 1,Shrewsbury Town,Wrexham,Regular Season,England
Benfica TV [28],16-01-2025 20:00,Euro83,MEO 1 ,Roller Hockey,Champions League,Benefica ,HC Liceo,,Europe
Italy Sport Arena [204],16-01-2025 20:00,Euro5,Sky-IT2 ,Soccer,Premier League,Manchester United,Southampton,Regular Season,England
Stadium Feed,16-01-2025 20:00,Euro131,ZSM_CH02 ,Soccer,São Paulo Youth Cup,Fluminense U20,São Paulo U20,Round of 16,Brazil
Super Sport Premier League [203],16-01-2025 20:00,Sa3,Not Set ,Soccer,Premier League,Manchester United,Southampton,Regular Season,England
Radio 5 Live,16-01-2025 20:00,Euro44,R5L ,Soccer,Premier League,Manchester United,Southampton,Regular Season,England
C Sport France [12] HD,16-01-2025 20:00,Euro19,FRA-2 ,Rugby,Pro D2,Agen,Biarritz Olympique,Regular Season,France
Infront,16-01-2025 20:11,Itf7,IGM_INF_ITF_CH05 ,Tennis,W50-La Marsa-Tunisia,Wang/Xun,Charaeva/Drazic,,Tunisia
Infront,16-01-2025 20:11,Itf1,IGM_INF_ITF_CH07 ,Tennis,W50-La Marsa-TN,Gasanova/Zolotareva,Glushkova/Rushiti,,Tunisia
Porto Canal [35],16-01-2025 20:25,Euro84,MEO 2 ,Roller Hockey,Champions League,Porto,Reus Deportiu,,Europe
TVE La 1 [1],16-01-2025 20:30,Euro31,Spain-1 ,Soccer,Copa del Rey,Real Madrid,Celta Vigo,Round of 16,Spain
301 SNE,16-01-2025 20:30,Us23,Not Set ,Curling,Pinty's Grand Slam of Curling,,,Draw 11,Canada
316 GOLF -S,16-01-2025 21:00,Us26,Not Set ,Golf,The American Express,,,First Round,United States
Stadium Feed,16-01-2025 21:30,Euro132,ZSM_CH06 ,Soccer,Paulista A1,Água Santa,São Bernardo,Regular Season,Brazil
Stadium Feed,16-01-2025 21:30,Euro117,XVI_CH08 ,Soccer,Carioca 1 Div,Madureira,Flamengo,Taça Guanabara,Brazil
Stadium Feed,16-01-2025 21:30,Euro133,ZSM_CH03 ,Soccer,São Paulo Youth Cup,Guarani U20,Ferroviária U20,Round of 16,Brazil
Modus,16-01-2025 21:45,Euro299,MODUS_CH01 ,Darts,Modus,,,Evening Session,UK
Stadium Feed,16-01-2025 22:00,Euro134,ZSM_CH04 ,Soccer,São Paulo Youth Cup,Botafogo U20,Criciuma U20,Round of 16,Brazil
Stadium Feed,16-01-2025 22:30,Euro135,ZSM_CH07 ,Soccer,Paulista A1,RB Bragantino,Corinthians,Regular Season,Brazil
612 ACC,16-01-2025 23:00,Us3,Not Set ,Basketball,Women's College Basketball,Notre Dame ,Georgia Tech ,,United States
Super Sport Cricket [212],16-01-2025 23:00,Sa4,Not Set ,Cricket,Women's One Day Series,Australia,England,3rd ODI,World
Radio 5 Live SX,16-01-2025 23:00,Euro43,R5LX ,Cricket,Women's One Day Series,Australia,England,3rd ODI,World
Stadium Feed,16-01-2025 23:00,Euro120,LVM_CH01 ,Soccer,Paranaense 1 Div,Paraná,Operário PR,Group Stage,Brazil
